Set Point,Humedad,Temp sensada,Salida
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,51,39.00,0.00
39.00,65,39.00,0.00
39.00,65,39.00,0.00
39.00,65,39.00,0.00
39.00,65,39.00,0.00
39.00,65,39.00,0.00
39.00,52,39.00,0.00
39.00,52,39.00,0.00
39.00,52,39.00,0.00
39.00,52,39.00,0.00
39.00,52,78.09,0.00
39.00,52,64.97,79.31
39.00,52,64.97,0.00
39.00,52,64.97,0.00
39.00,52,51.02,115.42
39.00,52,48.03,11.82
39.00,52,40.07,77.43
39.00,52,40.07,0.00
39.00,52,28.98,135.93
39.00,52,28.98,30.05
39.00,52,39.00,0.00
39.00,52,41.04,0.00
39.00,52,41.04,3.89
39.00,52,41.04,2.87
39.00,52,41.04,1.85
39.00,52,41.04,0.83
39.00,52,41.04,0.00
39.00,52,41.04,0.00
39.00,52,41.04,0.00
39.00,52,37.03,46.91
39.00,52,37.03,7.77
39.00,52,37.03,8.76
